IN,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,,,,,,,,
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Jose D,1/8/2025,1
,,,,,,,,22,EARPADS,Update,Melanie,1/8/2025,77
,,,,,,,,1,WYSE,Update ,Jose D,1/7/2025,2
,,,,,,,,11,MONITORS USED,Update ,Jose D,1/8/2025,1
,,,,,,,,78,Handset,Update,Melanie,1/7/2025,30
,,,,,,,,31,DISPLAYPORT ADAPTER,Update,Melanie,12/27/2024,1
,,,,,,,,59,Cable de red 1m ,Update,Melanie,12/27/2024,12
,,,,,,,,62,Cable de red  5m ,Update,Melanie,12/27/2024,7
,,,,,,,,25,UPS NEW,Update,Melanie,1/7/2025,3
,,,,,,,,11,MONITORS USED,30565085,Pablo,12/21/2024,1
,,,,,,,,14,MOUSE NEW,Update,Melanie,12/19/2024,15
,,,,,,,,14,MOUSE NEW, 30479182,Jose D,12/16/2024,2
,,,,,,,,1,WYSE,Update ,Jose L. ,12/10/2024,3
,,,,,,,,41,HEADSET USADOS,Update ,Melanie,12/10/2024,1
,,,,,,,,5,HEADSET-PLANTRONICS,Update,Melanie,12/10/2024,20
,,,,,,,,30,WEB CAM,Update ,Melanie,12/5/2024,5
,,,,,,,,20,LAPTOPS NEW,Update,Melanie,12/5/2024,3
,,,,,,,,11,MONITORS USED,Update,Melanie,12/5/2024,1
,,,,,,,,78,Handset,Update,Melanie,12/3/2024,3
,,,,,,,,6,HEADSET-VARIOS 3.5,Update,Melanie,12/3/2024,2
,,,,,,,,11,MONITORS USED,30281124,Jose D,11/29/2024,2
,,,,,,,,5,HEADSET-PLANTRONICS,Update ,Melanie,11/20/2024,1
,,,,,,,,11,MONITORS USED,Update ,Pablo,11/20/2024,2
,,,,,,,,52,Extensores ,Update,Melanie,11/19/2024,2
,,,,,,,,53,Cable de corriente de 2 espigas,Update,Melanie,11/19/2024,5
,,,,,,,,54,Cargador Lenovo (Laptop),Update,Melanie,11/19/2024,4
,,,,,,,,55,Cargador HP (Laptop),Update,Melanie,11/19/2024,2
,,,,,,,,56,Cable VGA,Update,Melanie,11/19/2024,7
,,,,,,,, ,not exist,Update,Melanie,11/19/2024,5
,,,,,,,,58,Cable de extension ,Update,Melanie,11/19/2024,2
,,,,,,,,59,Cable de red 1m ,Update,Melanie,11/19/2024,8
,,,,,,,,60,Cable de red 2m ,Update,Melanie,11/19/2024,40
,,,,,,,,61,Cable de red 30cm ,Update,Melanie,11/19/2024,286
,,,,,,,,62,Cable de red  5m ,Update,Melanie,11/19/2024,41
,,,,,,,,63,Cable de red 3m ,Update,Melanie,11/19/2024,16
,,,,,,,,64,Cable de red 6m ,Update,Melanie,11/19/2024,1
,,,,,,,,65,Cargador de wyse 19.5V - 6.7A,Update,Melanie,11/19/2024,5
,,,,,,,,66,Cargador de wyse 19.5V - 3.34A,Update,Melanie,11/19/2024,1
,,,,,,,,67,Cargador de wyse 19V -3.42A,Update,Melanie,11/19/2024,6
,,,,,,,,68,Cargador 12 - 2A,Update,Melanie,11/19/2024,10
,,,,,,,,69,Cargador 19V - 1.31A,Update,Melanie,11/19/2024,5
,,,,,,,,70,Cable HDMI,Update,Melanie,11/19/2024,17
,,,,,,,,71,Cable DVI - HDMI,Update,Melanie,11/19/2024,25
,,,,,,,,72,Colochos de headset,Update,Melanie,11/19/2024,21
,,,,,,,,23,HUB USB WITH RJ45 PORT,Update,Melanie,11/19/2024,12
,,,,,,,,74,not exist,Update,Melanie,11/19/2024,5
,,,,,,,,75,Cargador PC Lenovo ,Update,Melanie,11/19/2024,14
,,,,,,,,76,Cargador Monitor LG,Update,Melanie,11/19/2024,3
,,,,,,,,77,Cargador Monitor Samsung ,Update,Melanie,11/19/2024,3
,,,,,,,,51,Cable de corriente (Cargador),Update,Melanie,11/19/2024,11
,,,,,,,,50,Cable de corriente (Compu) ,Update ,Melanie,11/19/2024,15
,,,,,,,,42,MEMORY 8GB LAPTOP,Update,Melanie,11/18/2024,6
,,,,,,,,42,MEMORY 8GB LAPTOP,Update,Andres A,11/17/2024,1
,,,,,,,,5,HEADSET-PLANTRONICS,Update,Pablo,11/8/2024,3
,,,,,,,,11,MONITORS USED,Update,Pablo,11/7/2024,1
,,,,,,,,21,MOUSE PAD,Update,Pablo,11/7/2024,29
,,,,,,,,16,PHONE,Update,Pablo,11/7/2024,14
,,,,,,,,10,MONITORS NEW,Update,Pablo,11/7/2024,20
,,,,,,,,1,WYSE,Update,Pablo,11/7/2024,14
,,,,,,,,26,UPS USED,30088719,Stiven,11/1/2024,1
,,,,,,,,12,MOUSE USED,Update,Pablo,11/1/2024,1
,,,,,,,,9,KEYBOARD USED,Update,Pablo,11/1/2024,1
,,,,,,,,11,MONITORS USED,Update,Pablo,10/26/2024,2
,,,,,,,,16,PHONE,Update,Pablo,10/23/2024,1
,,,,,,,,6,HEADSET-VARIOS 3.5,Update,Andres A,10/23/2024,1
,,,,,,,,19,POWER STRIP,Update,Andres A,10/23/2024,2
,,,,,,,,26,UPS USED,Update,Andres A,10/23/2024,4
,,,,,,,,3,DESKTOP-HP,Update,Pablo,10/23/2024,5
,,,,,,,,37,MEMORY 16 GB DESKTOP,Update,Pablo,10/16/2024,2
,,,,,,,,30,WEB CAM,Update,Pablo,10/16/2024,3
,,,,,,,,5,HEADSET-PLANTRONICS,Update,Pablo,10/16/2024,25
,,,,,,,,12,MOUSE USED,Update,Jose D,10/15/2024,1
,,,,,,,,9,KEYBOARD USED,Update,Pablo,10/9/2024,2
,,,,,,,,5,HEADSET-PLANTRONICS,Update,Pablo,10/9/2024,2
,,,,,,,,1,WYSE,Update,Pablo,10/1/2024,1
,,,,,,,,5,HEADSET-PLANTRONICS,Update,Pablo,9/30/2024,2
,,,,,,,,20,LAPTOPS NEW,Update,Pablo,9/25/2024,5
