EQUIPMENT,,,,,,,OUT,,,,,,,IN,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PRODUCT CODE,EQUIPMENT DESCRIPTION,BRAND,IN,OUT,AVAILABLE,,PRODUCT CODE,EQUIPMENT DESCRIPTION,Ticket ,TECH,DATE,QUANTITY,,PRODUCT CODE,EQUIPMENT DESCRIPTION,TICKET,TECH,DATE,QUANTITY,
45,SUPRESORES DE PICO,,10,3,7,,31,DISPLAYPORT ADAPTER,32005142,Jose D ,5/23/2025,1,,63,Cable de red 3m ,31619291,Ronald,5/5/2025,3,
47,XP-PEN para Imac,,1,0,1,,1,WYSE,No ticket Danilo ,Andres A,5/20/2025,1,,11,MONITORS USED,31619287,Ronald,5/2/2025,1,
48,Ventiladores,,1,0,1,,11,MONITORS USED,No ticket Danilo ,Andres A,5/20/2025,2,,12,MOUSE USED,31619287,Ronald,5/2/2025,1,
49,Pasta Termica,,2,0,2,,31,DISPLAYPORT ADAPTER,No ticket Danilo ,Andres A,5/20/2025,2,,1,WYSE,31619287,Ronald,5/2/2025,1,
50,Cable de corriente (Compu) ,,15,0,15,,70,Cable HDMI,No ticket Danilo ,Andres A,5/20/2025,2,,9,KEYBOARD USED,31619287,Ronald,5/2/2025,1,
51,Cable de corriente (Cargador),,11,0,11,,1,WYSE,31974927,Kevin ,5/20/2025,1,,16,PHONE,31619287,Ronald,5/2/2025,1,
52,Extensores ,,2,0,2,,31,DISPLAYPORT ADAPTER,31974927,Kevin ,5/20/2025,1,,16,PHONE,31619287,Ronald,4/18/2025,1,
53,Cable de corriente de 2 espigas,,5,0,5,,10,MONITORS NEW,31974927,Kevin ,5/20/2025,1,,1,WYSE,31619287,Ronald,4/18/2025,2,
54,Cargador Lenovo (Laptop),,4,0,4,,7,KEYBOARD NEW,31967366,Pablo,5/19/2025,1,,11,MONITORS USED,31619287,Ronald,4/18/2025,2,
55,Cargador HP (Laptop),,2,0,2,,5,HEADSET-PLANTRONICS,31956795,Jose D ,5/18/2025,1,,12,MOUSE USED,31619287,Ronald,4/18/2025,1,
56,Cable VGA,,7,1,6,,26,UPS USED,31951101,Ronald ,5/17/2025,1,,9,KEYBOARD USED,31619287,Ronald,4/18/2025,2,
57,Cable DVI - VGA -VI(doble),,0,0,0,,5,HEADSET-PLANTRONICS,31945980,Jose D ,5/16/2025,1,,15,LAPTOPS USED,No ticket,Andres A ,4/16/2025,1,
58,Cable de extension ,,2,0,2,,16,PHONE,31824902,Stiven,5/16/2025,1,,9,KEYBOARD USED,31672697,Ronald,4/13/2025,1,
59,Cable de red 1m ,,25,27,-2,,59,Cable de red 1m ,31824902,Stiven,5/16/2025,1,,9,KEYBOARD USED,31654765,Ronald ,4/12/2025,1,
60,Cable de red 2m ,,45,2,43,,63,Cable de red 3m ,31824902,Stiven,5/16/2025,1,,26,UPS USED,31614583,Ronald ,4/12/2025,1,
61,Cable de red 30cm ,,286,101,185,,70,Cable HDMI,31938787,Ronald ,5/16/2025,3,,10,MONITORS NEW,No ticket,Melanie,4/4/2025,10,
62,Cable de red  5m ,,49,4,45,,31,DISPLAYPORT ADAPTER,31938787,Ronald ,5/16/2025,3,,20,LAPTOPS NEW,No ticket,Melanie,4/4/2025,2,
